Season,Date,Team1,Team2,Venue,City,Toss(Won),Toss(Decision),BatFirst,BowlFirst,SuperOver,Winner,"WonBy(Runs,Wickets)","Won(Toss,Match)",POM
2020/21,2020-09-23,MI,KKR,Sheikh Zayed Stadium,Abu Dhabi,KKR,field,MI,KKR,N,MI,49.0,No,RG Sharma
2020/21,2020-09-22,RR,CSK,Sharjah Cricket Stadium,Mumbai,CSK,field,RR,CSK,N,RR,16.0,No,SV Samson
2020/21,2020-09-21,RCB,SH,Dubai International Cricket Stadium,Mumbai,SH,field,RCB,SH,N,RCB,10.0,No,YS Chahal
2020/21,2020-09-20,DC,KXP,Dubai International Cricket Stadium,Mumbai,KXP,field,DC,KXP,Y,DC,17.0,No,MP Stoinis
2020/21,2020-09-19,MI,CSK,Sheikh Zayed Stadium,Abu Dhabi,CSK,field,MI,CSK,N,CSK,5.0,Yes,AT Rayudu
2019,2019-05-12,MI,CSK,Rajiv Gandhi International Stadium,Hyderabad,MI,bat,MI,CSK,N,MI,1.0,Yes,JJ Bumrah
2019,2019-05-10,DC,CSK,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,CSK,field,DC,CSK,N,CSK,6.0,Yes,F du Plessis
2019,2019-05-08,SH,DC,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,DC,field,SH,DC,N,DC,2.0,Yes,RR Pant
2019,2019-05-07,CSK,MI,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,MI,N,MI,6.0,No,SA Yadav
2019,2019-05-05,KKR,MI,Wankhede Stadium,Mumbai,MI,field,KKR,MI,N,MI,9.0,Yes,HH Pandya
2019,2019-05-05,CSK,KXP,Punjab Cricket Association IS Bindra Stadium,Chandigarh,KXP,field,CSK,KXP,N,KXP,6.0,Yes,KL Rahul
2019,2019-05-04,SH,RCB,M.Chinnaswamy Stadium,Bengaluru,RCB,field,SH,RCB,N,RCB,4.0,Yes,SO Hetmyer
2019,2019-05-04,RR,DC,Arun Jaitley Stadium,Delhi,RR,bat,RR,DC,N,DC,5.0,No,A Mishra
2019,2019-05-03,KXP,KKR,Punjab Cricket Association IS Bindra Stadium,Chandigarh,KKR,field,KXP,KKR,N,KKR,7.0,Yes,Shubman Gill
2019,2019-05-02,MI,SH,Wankhede Stadium,Mumbai,MI,bat,MI,SH,Y,MI,17.0,Yes,JJ Bumrah
2019,2019-05-01,CSK,DC,MA Chidambaram Stadium,Chennai,DC,field,CSK,DC,N,CSK,80.0,No,MS Dhoni
2019,2019-04-30,RCB,RR,M.Chinnaswamy Stadium,Bengaluru,RR,field,RCB,RR,N,MI,17.0,No,AB de Villiers
2019,2019-04-29,SH,KXP,Rajiv Gandhi International Stadium,Hyderabad,KXP,field,SH,KXP,N,SH,45.0,No,DA Warner
2019,2019-04-28,KKR,MI,Eden Gardens,Kolkata,MI,field,KKR,MI,N,KKR,34.0,No,AD Russell
2019,2019-04-28,DC,RCB,Arun Jaitley Stadium,Delhi,DC,bat,DC,RCB,N,DC,16.0,Yes,S Dhawan
2019,2019-04-27,SH,RR,Sawai Mansingh Stadium,Jaipur,RR,field,SH,RR,N,RR,7.0,Yes,JD Unadkat
2019,2019-04-26,MI,CSK,MA Chidambaram Stadium,Chennai,CSK,field,MI,CSK,N,MI,46.0,No,RG Sharma
2019,2019-04-25,KKR,RR,Eden Gardens,Kolkata,RR,field,KKR,RR,N,RR,3.0,Yes,VR Aaron
